id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
339635,RU-0545,heliport,Cape Mayachnyy Heliport,52.887324,158.704548,,AS,RU,RU-KAM,Petropavlovsk-Kamchatskiy,no,,,,,,
339636,RU-0546,heliport,Vityaz'-Aero Heliport,53.042368,158.311808,,EU,RU,RU-KAM,Nikolayevka,no,,,,,,UPAU
339637,RU-0547,heliport,Pauzhetskaya Power Station Heliport,51.46422,156.80941,375.0,AS,RU,RU-KAM,Pauzhetka,no,,,,,,
339638,RU-0548,small_airport,Ozernovskiy Airport,51.49929,156.54339,,AS,RU,RU-KAM,Ozernovskiy,no,UHQO,,,,,"Zaporozh'ye, UHQO"
339639,RU-0549,heliport,Oktyabr'skiy Heliport,52.67295,156.23486,17.0,AS,RU,RU-KAM,Oktyabr'skiy,no,,,,,,
339640,RU-0550,heliport,Ust'-Bol'sheretsk Emergency Heliport,52.82646,156.28934,,AS,RU,RU-KAM,Ust'-Bol'sheretsk,no,,,,,,
339641,RU-0551,heliport,Koryaki Heliport,53.25887,158.21443,,EU,RU,RU-KAM,Koryaki,no,,,PP42,,,
339642,RU-0552,heliport,Mayskoye Heliport,56.25203,160.07113,,EU,RU,RU-KAM,Mayskoye,no,,,,,,
339643,RU-0553,heliport,Ust'-Kamchatsk Regional Hospital Heliport,56.26335,162.59388,,AS,RU,RU-KAM,Ust'-Kamchatsk,no,,,,,,
339647,RU-0554,heliport,Kamenskoye Heliport,62.463596,166.19418,,EU,RU,RU-KAM,Kamenskoye,no,,,,,,
339648,RU-0555,small_airport,Takhtoyamsk Airport,60.194321,154.674325,,EU,RU,RU-MAG,Takhtoyamsk,no,,,,,,
339649,RU-0556,closed,Magadan-47 Airport,59.91388,150.88527,,EU,RU,RU-MAG,Magadan,no,,,,,,
339650,RU-0557,small_airport,Inya Airport,59.39879,144.82051,,EU,RU,RU-KHA,Inya,no,UHOQ,,,,,
339651,RU-0558,small_airport,Tukchi Airport,57.35506,139.49783,,AS,RU,RU-KHA,Tukchi,no,UHOI,,,,https://es.wikipedia.org/wiki/Tukchi,
339652,RU-0559,small_airport,Kiran Airport,55.01798,135.40866,,EU,RU,RU-KHA,Kiran,no,UHNI,,,,,
339654,RU-0560,closed,Pionery Airport,47.28947,142.00005,,EU,RU,RU-SAK,Kostromskoye,no,,,,,,Konotoro Airfield
339655,RU-0561,heliport,Cape Krillon Heliport,45.89781,142.0826,,EU,RU,RU-SAK,Taranay,no,,,,,,
339934,RU-0562,heliport,Sakhalin-1 Oil Terminal Helipad,51.48697,140.82619,,EU,RU,RU-KHA,De-Kastri,no,,,,,,
339937,RU-0563,heliport,Vanino Heliport,49.094615,140.272795,,EU,RU,RU-KHA,Vanino,no,,,,,,
339938,RU-0564,closed,Sovetskaya Gavan (Znamenskoye) Airport,48.97784,140.32358,,EU,RU,RU-KHA,Sovetskaya Gavan,no,,,,,,
339940,RU-0565,small_airport,Maksimovka Airstrip,46.09133,137.89901,,EU,RU,RU-PRI,Maksimovka,no,,,,,,
339941,RU-0566,heliport,Malaya Kema Heliport,45.41223,137.16077,,EU,RU,RU-PRI,Malaya Kema,no,,,,,,
339942,RU-0567,heliport,Kamenka Heliport,44.45472,136.00023,,EU,RU,RU-PRI,Kamenka,no,,,,,,
339943,RU-0568,heliport,Olga Heliport,43.75547,135.31572,,EU,RU,RU-PRI,Olga,no,,,,,,
339944,RU-0569,heliport,Milogradovo Heliport,43.30381,134.60221,,EU,RU,RU-PRI,Milogradovo,no,,,,,,
339946,RU-0570,heliport,Khasanskaya Central Regional Hospital Helipad,42.85598,131.40188,,AS,RU,RU-PRI,Slavyanka,no,,,,,,
339947,RU-0571,heliport,Russkiy Island Heliport,43.03142,131.88014,,EU,RU,RU-PRI,Russkiy,no,,,,,,
339948,RU-0572,heliport,Far Eastern Federal University (DVFU) Campus Helipad,43.02998,131.89307,,EU,RU,RU-PRI,Russkiy,no,,,,,,
339949,RU-0573,heliport,Far Eastern Federal University (DVFU) Medical Center Helipad,43.02247,131.89309,,AS,RU,RU-PRI,Russkiy,no,,,,,,
339950,RU-0574,heliport,Pos'et Heliport,42.65686,130.78535,,AS,RU,RU-PRI,Pos'et,no,,,,,,
340082,RU-0575,closed,Former Severo-Kurilsk Airport / Kashiwabara Airfield,50.703954,156.126776,,AS,RU,RU-SAK,Severo-Kurilsk,no,,,,,,Kashiwabara Airfield
340083,RU-0576,heliport,Severo-Kurilsk Vertodrome,50.671087,156.123859,,AS,RU,RU-SAK,Severo-Kurilsk,no,,,,,,USEI
340084,RU-0577,closed,Baykovo Airport,50.72504,156.20636,,AS,RU,RU-SAK,Baykovo,no,,,,,,"Kataoka Airfield, Imaizaki Airfield, USEM"
340085,RU-0578,closed,Miyoshino Airfield,50.70847,156.3168,,AS,RU,RU-SAK,Baykovo,no,,,,,,USEJ
